"w1","w2","w3","w4","iportfolio","sdp","sharp","des"
0.05,0.79,0.01,0.15,0.00115820952380952,0.0112976273628796,0.102517943512196,"Minimal risk portfolio"
0,0.3,0,0.7,0.00596514285714286,0.0261655839460733,0.227976676134455,"Maximum efficiency portfolio"
0,0,0,1,0.00858314285714286,0.0382030070381671,0.224671917803952,"Maximum rate of return portfolio"
1,0,0,0,-0.00106495238095238,0.0974117967122034,-0.0109324785795576,"Max weight one portfolio"
0,1,0,0,-0.00014352380952381,0.0153988437990644,-0.00932042765006354,"Max weight two portfolio"
0,0,1,0,0.00373695238095238,0.179203658885444,0.0208531031352504,"Max weight three portfolio"
0,0,0,1,0.00858314285714286,0.0382030070381671,0.224671917803952,"Max weight four portfolio"
